transaction_type,transaction_date,settle_date,symbol,isin,description,quantity,cost_eur,coefficient,actualized_cost_eur,proceeds_eur,gross_amount_eur,gain_loss_eur,deferred_loss_eur,integrable_amount_eur,foreign_tax_eur,treaty_capped_credit_eur,savings_group,notes
Capital Gain,2026-04-15,2026-04-17,AAPL,US0378331005,AAPL,100.00,9000.00,,10908.00,22500.00,,11592.00,0.00,11592.00,,,GyP,
Lot,2021-03-10,,AAPL,,FIFO lot acquired 2021-03-10,100.00,9000.00,1.212,10908.00,22500.00,,11592.00,,,,,GyP,9000.00 × 1.212 = 10908.00
Capital Gain,2026-09-15,2026-09-17,AAPL,US0378331005,AAPL,100.00,18000.00,,18900.00,27000.00,,8100.00,0.00,8100.00,,,GyP,
Lot,2024-06-10,,AAPL,,FIFO lot acquired 2024-06-10,100.00,18000.00,1.050,18900.00,27000.00,,8100.00,,,,,GyP,18000.00 × 1.050 = 18900.00

# The cuota is computed once on the year's base after group compensation, NOT summed
# from the rows: the savings scale is progressive, so per-row taxes would not add up.
summary_key,label,value_eur
SUMMARY_PRIOR_CROSS_OFFSET_RCM_TO_GYP,Compensación cruzada RCM → ganancias — fase 2ª-2º (saldos de ejercicios anteriores),0.00
SUMMARY_PRIOR_CROSS_OFFSET_GYP_TO_RCM,Compensación cruzada ganancias → RCM — fase 2ª-2º (saldos de ejercicios anteriores),0.00
SUMMARY_RCM_TAXABLE,RCM integrado en la base del ahorro,0.00
SUMMARY_GYP_TAXABLE,Ganancias integradas en la base del ahorro,19692.00
SUMMARY_SAVINGS_BASE,Base liquidable del ahorro,19692.00
SUMMARY_SAVINGS_QUOTA,Cuota íntegra del ahorro,3957.24
SUMMARY_AVERAGE_SAVINGS_RATE,Tipo medio de gravamen del ahorro (ratio — not EUR),0.2010
SUMMARY_FOREIGN_WITHHOLDING,Retenciones practicadas en el extranjero,0.00
SUMMARY_FOREIGN_TAXABLE_INCOME,Renta neta obtenida en el extranjero integrada en la base (límite del tipo medio),0.00
SUMMARY_FOREIGN_TAX_CREDIT,Deducción por doble imposición internacional,0.00
SUMMARY_NET_TAX_DUE,Cuota líquida del ahorro,3957.24
SUMMARY_INFORMATIONAL_FEES,Comisiones informativas (no deducibles),0.00
SUMMARY_FX_BORROWED_REVIEW,Resultados de divisa sobre saldo prestado (excluidos — revisión manual),0.00

# MODELO 109 — autoliquidación del IRPF de Gipuzkoa
# The numbers below are read off the Hacienda Foral "Propuesta de autoliquidación"
# specimen for ejercicio 2025 (gipuzkoa.eus/es/web/ogasuna/impuestos/modelo/109/,
# retrieved 2026-08-11). Gipuzkoa publishes no blank numbered form — the return
# is generated by Zergabidea — so check each casilla against your own proposal.
# WARNING: no form is published for ejercicio 2026 yet — it is filed in 2027.
# These are the ejercicio-2025 numbers, the last published layout.
# WARNING: the rendimientos íntegros / gastos breakdown lives in Anexo 3,
# whose internal numbering is confirmed only through ejercicio 2024 and was
# renumbered by NF 1/2025. Only the Hoja de liquidación rows are emitted
# here; take the breakdown from your own Anexo 3.
MODELO_109_HOJA_28,Rendimiento neto del capital mobiliario (base del ahorro) (hoja, casilla 28),0.00
MODELO_109_HOJA_29,Compensación de rendimientos negativos de ejercicios anteriores (hoja, casilla 29),0.00
MODELO_109_HOJA_30,Ganancias y pérdidas patrimoniales por transmisiones (hoja, casilla 30),19692.00
MODELO_109_HOJA_31,Compensación de pérdidas de ejercicios anteriores (hoja, casilla 31),0.00
MODELO_109_HOJA_33,Base liquidable del ahorro (tras compensación) (hoja, casilla 33),19692.00
MODELO_109_HOJA_38,Cuota íntegra del ahorro (hoja, casilla 38),3957.24
MODELO_109_HOJA_70,Deducción por doble imposición internacional (hoja, casilla 70),0.00
MODELO_109_HOJA_74,Cuota líquida del ahorro (hoja, casilla 74),3957.24
